% The Solar-SPAM model = based on TIMED SEE data from 22.01.2002 to 24.11.2016 :  
% F(f) = p1*f^2 + p2*f + p3 
% F - photon energy flux,  [W m^-2 nm^-1]
% f == f107 - measured solar radio flux at 10.7 cm,  [10^-22 W m^-2]

%lambda  p1              p2              p3              CC    RMSE            I_aver           std         
170.5    -5.85190609e-10  4.32779772e-07  6.13206686e-04  0.68  1.01094842e-05  6.51269342e-04  1.37512452e-05 
171.5    -5.06522331e-10  4.47020613e-07  6.17992427e-04  0.70  1.06043009e-05  6.58460948e-04  1.48117955e-05 
172.5    -3.24768827e-10  3.72615949e-07  6.98235220e-04  0.60  1.23238287e-05  7.33115678e-04  1.54570430e-05 
173.5     5.76888817e-11  2.79814116e-07  6.97522794e-04  0.61  1.18627791e-05  7.27268149e-04  1.50237895e-05 
174.5    -1.17218795e-10  3.92089797e-07  8.58418577e-04  0.61  1.50705494e-05  8.97766504e-04  1.89340388e-05 
175.5    -1.37607193e-10  5.06896902e-07  1.04781557e-03  0.60  1.97468460e-05  1.09884901e-03  2.47498355e-05 
176.5    -8.96657609e-10  6.78269058e-07  1.12910891e-03  0.59  2.01888857e-05  1.18900333e-03  2.50067347e-05 
177.5     1.32627992e-09  1.79727927e-07  1.42010797e-03  0.47  2.90878237e-05  1.45439881e-03  3.29424252e-05 
178.5     1.98167580e-09  8.00937083e-08  1.59925973e-03  0.48  3.18302836e-05  1.63092052e-03  3.61888768e-05 
179.5     1.18969584e-09  3.52847586e-07  1.62399680e-03  0.54  3.13644235e-05  1.67466180e-03  3.71324454e-05 
180.5    -1.61188575e-09  1.46962414e-06  2.01940644e-03  0.62  4.36405768e-05  2.15307912e-03  5.55577034e-05 
181.5    -3.61654690e-09  2.50708549e-06  2.31968020e-03  0.66  5.98817371e-05  2.53750811e-03  7.95418341e-05 
182.5     1.44002194e-10  8.58952566e-07  2.34991118e-03  0.46  5.34544458e-05  2.44083155e-03  6.03649995e-05 
183.5    -5.43430484e-10  9.53841592e-07  2.52448745e-03  0.45  5.15037308e-05  2.61716760e-03  5.76847272e-05 
184.5    -1.30322879e-09  9.76484389e-07  2.20300301e-03  0.47  3.95649715e-05  2.28908597e-03  4.48622662e-05 
185.5    -1.62506964e-09  1.13882183e-06  2.50603519e-03  0.44  4.83075423e-05  2.60519029e-03  5.38955205e-05 
186.5    -1.89245396e-09  1.37388136e-06  2.88406355e-03  0.44  5.91202561e-05  3.00448624e-03  6.59932493e-05 
187.5     6.84720021e-10  6.10050906e-07  3.29718092e-03  0.35  6.56653209e-05  3.36861527e-03  6.99805928e-05 
188.5     1.53237630e-09  8.38490308e-07  3.18211645e-03  0.46  7.35219971e-05  3.28726414e-03  8.25982604e-05 
189.5     7.23049173e-09 -4.24163156e-07  2.42571457e-03  0.51  6.85476734e-05  2.46681811e-03  7.96655742e-05 
